id_feedback,customer_id,Review,sentiment
,KH15321,The battery drains faster than expected. Not happy.,negative
,KH25018,The illustrations in this book are stunning and add to the story.,positive
,KH30315,The smartwatch syncs seamlessly with my phone. Very convenient.,positive
,KH46563,This poetry collection is beautifully written and very emotional.,positive
,KH40118,This laptop boots up incredibly fast and is perfect for work.,positive
,KH39221,This storage unit is sturdy and has plenty of space.,positive
,KH39221,This external hard drive is compact and stores a lot of data.,positive
,KH41067,The hoodie shrunk drastically after washing. Not happy.,negative
,KH48160,"The device overheats too often, which is frustrating.",negative
,KH13115,The photography guide is practical and easy to understand.,positive
,KH45999,"The features are decent, but the build quality feels cheap.",negative
,KH39166,The battery life is much worse than advertised. Disappointing.,negative
,KH41963,This bookshelf has a modern design and fits all my books.,positive
,KH10414,"The design is sleek, but it lacks important features.",negative
,KH37401,Great value for the price! Solid build and fast performance.,positive
,KH19115,The keyboard feels cheap and isn’t responsive at all.,negative
,KH40361,"The science book explains concepts in a simple, clear way.",null
,KH28369,Charging cable was missing from the box. Poor quality control.,null
,KH9411,The blazer is well-tailored and perfect for formal occasions.,null
,KH9885,"These curtains completely block out light, which is perfect for sleeping.",null
,KH136,The jeans are stylish but run smaller than expected.,null
,KH10414,The screen resolution is sharp and vibrant.,null
,KH814,The textbook is comprehensive and covers the subject in detail.,null
,KH23553,The vacuum cleaner loses suction power quickly. Frustrating.,null
,KH48299,"It’s okay, but there are better alternatives at this price.",null
,KH18824,"This memoir is honest, raw, and deeply moving.",positive
,KH814,The fabric of the hoodie feels cheap and uncomfortable.,null
,KH14501,The gaming console has top-notch graphics and gameplay.,null
,KH45597,The recipes in this cookbook are too complicated and impractical.,null
,KH43689,The dress is okay but doesn’t look as good as in the pictures.,null
,KH37401,This hoodie is soft and has a modern design.,null
,KH6735,The color of the curtains faded after one wash.,null
,KH23735,I’m impressed with the durability of this phone case.,null
,KH30111,The sweater started pilling after a week of use.,null
,KH26506,The winter coat is warm and looks amazing!,null
,KH24307,The toaster makes perfect golden-brown toast every time.,null
,KH48154,The dining table is sturdy and has a beautiful finish.,null
,KH32608,This sweater feels luxurious and is incredibly cozy.,null
,KH3194,This couch is both comfortable and stylish. Great addition!,null
,KH18715,This scarf is the perfect addition to my winter wardrobe.,null
,KH136,The novel has an interesting premise but poor execution.,null
,KH10414,"The design is sleek, but the performance is underwhelming.",null
,KH41163,This mystery novel kept me hooked until the last page.,null
,KH32326,The heater consumes too much energy. A mixed bag.,null
,KH46636,The lamp has an elegant design that complements my room.,null
,KH19959,The novel is beautifully written and very thought-provoking.,null
,KH12714,The camera quality of this drone is professional-grade.,null
,KH47945,The dining set arrived with scratches on the surface.,null
,KH48154,The hat is lightweight and shields from the sun well.,null
,KH13035,"The illustrations are nice, but the story falls flat.",null
,KH48154,The fabric on the sofa started peeling after a month.,null
,KH47747,The blouse is elegant and fits like a glove.,null
,KH17531,The projector produces a bright and clear image even in daylight.,null
,KH47275,It stopped working after just a week. Really disappointed.,null
,KH27357,These running shoes are perfect for my daily workouts.,null
,KH15739,The cookware set heats evenly and is easy to clean.,null
,KH45597,"The socks are soft and durable, perfect for daily wear.",null
,KH4569,The monitor has significant backlight bleeding. Annoying to use.,null
,KH48102,The trench coat is a timeless piece that I love.,null
,KH39732,This self-help book is truly inspiring and motivating.,null
,KH19566,The lawn mower cuts grass evenly and is easy to operate.,null
,KH48160,The kitchen knives are sharp and cut through anything with ease.,null
,KH39221,The sweater is cozy and perfect for the cold weather.,null
,KH27357,This graphic novel has beautiful artwork and an engaging story.,null
,KH17787,The mattress is too soft and sinks in the middle.,null
,KH37878,The socks are breathable and perfect for running.,null
,KH29172,This cookbook has easy-to-follow recipes that taste amazing.,null
,KH9885,"Overall, this gadget is worth every penny for its utility.",null
,KH30315,The dress material feels cheap and uncomfortable.,null
,KH48160,The cookware is functional but not durable in the long run.,null
,KH41963,The camera overheats too quickly. Unusable for long sessions.,null
,KH47747,The characters are poorly developed and hard to connect with.,null
,KH5924,This power bank is a lifesaver during trips. Highly recommended!,null
,KH19899,"The air purifier is louder than expected, disrupting sleep.",null
,KH48779,The art book is full of stunning visuals and insights.,null
,KH10380,The air purifier has made a noticeable difference in air quality.,null
,KH23735,The travel guide is outdated and not very helpful.,null
,KH4528,This smartwatch has a sleek design and great features for fitness tracking.,null
,KH1666,This sofa is incredibly comfortable and looks great in my living room.,null
,KH15683,The shirt has a unique design and feels comfortable.,null
,KH28369,The sweater shrunk after the first wash. Not impressed.,null
,KH94,The charger is compact and charges my devices super fast.,null
,KH46563,"The poetry is okay, but it doesn’t evoke much emotion.",null
,KH30111,The mattress is too firm and uncomfortable to sleep on.,null
,KH16124,The bookshelf is decent but came with missing screws.,null
,KH41012,The turtleneck sweater is soft and feels luxurious.,null
,KH20326,The book is overhyped and didn’t meet my expectations.,null
,KH28196,"The speakers are loud and clear, perfect for parties.",null
,KH21200,The charging speed is faster than I expected.,null
,KH2137,The shoes are uncomfortable and gave me blisters.,null
,KH29543,The mystery novel is okay but lacks real suspense.,null
,KH16041,The dress is flattering and great for special occasions.,null
,KH48102,The belt buckle broke unexpectedly. Frustrating experience.,null
,KH23513,The pressure cooker is good but takes too long to heat.,null
,KH19678,This workout set is stretchy and perfect for yoga.,null
,KH40849,"The children’s book is fun, educational, and engaging.",null
,KH17492,The blouse’s stitching came undone after washing. Poor quality.,null
,KH36148,This novel is a page-turner with great pacing.,null
,KH6113,This ceiling fan is powerful and energy-efficient.,null
,KH8266,The cookbook has recipes that are overly complex and impractical.,null
,KH25495,The guidebook is packed with helpful tips for travelers.,null
,KH30315,This monitor has excellent resolution and low blue light mode.,null
,KH12109,The sound quality of these headphones is amazing. Highly recommend!,null
,KH136,This pair of pants is comfortable and stylish.,null
,KH46636,The pants are stylish but not very durable over time.,null
,KH47747,The thriller is decent but doesn’t stand out in the genre.,null
,KH38540,The biography has interesting moments but feels too long.,null
,KH13115,The coffee maker brews quickly and tastes amazing.,null
,KH43854,The gloves don’t fit properly and feel awkward to wear.,null
,KH13035,The fantasy novel has an amazing plot and great characters.,null
,KH19926,The storage box arrived cracked and unusable. Disappointing.,null
,KH41114,This mystery novel kept me guessing until the very end.,null
,KH44661,The gloves are warm and fit perfectly.,null
,KH4569,The curtains are thick and provide great insulation.,null
,KH49745,The microwave heats food quickly and evenly. Highly satisfied.,null
,KH15739,The washing machine is efficient and runs quietly.,null
,KH23860,"The storyline is gripping, and the characters are well-developed.",null
,KH31138,The hoodie is both comfortable and trendy.,null
,KH48160,This book’s language is too dense and hard to follow.,null
,KH38871,This book is a treasure trove of information on its subject.,null
,KH17531,The shelf is sturdy and fits perfectly in my office.,null
,KH41114,"The blender works like a charm, blending everything smoothly.",null
,KH13115,The shoes caused blisters after wearing them for an hour.,null
,KH25365,"The instructions were unclear, making assembly difficult.",null
,KH25365,The writing style is captivating and draws you in from the start.,null
,KH6735,"The bed frame is solid, and the assembly was easy.",null
,KH20326,The noise cancellation on these headphones is superb.,null
,KH2306,The blender crushes ice effortlessly and is easy to clean.,null
,KH32325,This cookbook has delicious recipes that are easy to follow.,null
,KH5924,The fantasy world-building is incredible and immersive.,null
,KH42924,The printer is reliable and prints documents quickly.,null
,KH13560,The handle of the pan snapped off while cooking. Disappointing.,null
,KH49745,The athletic wear is breathable and great for workouts.,null
,KH38013,These shorts are comfortable and great for lounging.,positive
,KH30315,The language in the textbook is too technical and hard to follow.,null
,KH34577,The poetry in this book is touching and beautifully crafted.,positive
,KH19899,Average performance—not bad but not great either.,neutral
,KH9318,The shoes are lightweight and provide great arch support.,positive
,KH32666,This book is a masterpiece! I couldn’t put it down.,positive
,KH30204,The laptop cooling pad keeps my device cool and silent.,positive
,KH45597,The shorts are fine but started fading after a few washes.,negative
,KH14501,The fan makes a loud noise when operating. Not great.,negative
,KH12878,The children’s book is both fun and educational.,positive
,KH26626,The earbuds fit perfectly and have amazing sound quality.,positive
,KH3767,The device didn’t last more than two months. Waste of money.,negative
,KH43914,This organizer has helped me declutter my room beautifully.,positive
,KH19566,"The TV's picture quality is stunning, and the sound is crystal clear.",positive
,KH27857,The shirt’s color faded after just one wash. Disappointed.,negative
,KH34824,The dress fits perfectly and feels very comfortable.,positive
,KH3194,The thriller had twists I didn’t see coming. Incredible read!,positive
,KH41963,This keyboard is responsive and great for typing long hours.,null
,KH18371,These jeans are high-quality and fit like a dream.,positive
,KH47275,The blender motor burned out after a month. Not worth it.,null
,KH37648,The cardigan is soft and goes with almost anything.,null
,KH29543,"It’s an okay product, but I’ve seen better in this price range.",null
,KH30315,"The fan is powerful yet quiet, a perfect combination.",null
,KH37401,The pressure cooker works perfectly and cooks meals fast.,null
,KH23007,The self-help book is motivating and packed with useful advice.,null
,KH19678,The coffee table looks nice but wobbles a lot. Mixed bag.,null
,KH29520,This vacuum cleaner is lightweight and easy to maneuver.,null
,KH36148,The travel guide is full of useful tips and beautiful photos.,null
,KH21200,This biography is inspiring and very well-written.,null
,KH48779,The manual was confusing and hard to follow.,null
,KH17787,The display started flickering after a week. Very frustrating.,null
,KH38871,The soundbar enhances the audio experience to a whole new level.,null
,KH262,The characters are flat and not relatable at all.,null
,KH37878,The jacket zipper broke after a few uses. Poor quality.,null
,KH17787,The story is predictable and didn’t keep me engaged.,null
,KH33453,The dishwasher cleans dishes thoroughly and saves a lot of time.,null
,KH8692,The belt is sturdy and looks great with my outfits.,null
,KH42924,"It works okay for its price, but it’s nothing special.",null
,KH41632,The buttons feel flimsy and low quality.,null
,KH32042,The pants tore after just one wear. Very disappointed.,null
,KH30315,The hat is stylish and keeps me warm during cold days.,null
,KH3458,This coffee table is well-made and looks fantastic.,null
,KH22507,Battery life is excellent and lasts all day without any issues.,null
,KH16048,The T-shirt fabric is soft and doesn’t shrink after washing.,null
,KH16124,Not as durable as advertised. A mixed experience.,null
,KH136,The fabric on the chair started tearing within weeks.,null
,KH48836,"Setup was simple, and the product works like a charm.",null
,KH24189,The poetry collection is hit or miss depending on the poem.,null
,KH3767,This jacket is warm and stylish. I love it!,null
,KH37747,The guidebook has some useful info but is mostly outdated.,null
,KH46563,"The camera lens produces sharp, vibrant photos every time.",null
,KH8709,This book was boring and predictable. A waste of time.,null
,KH25495,This rug feels soft and looks very stylish in my living room.,null
,KH9411,"The socks are okay, but they wear out quickly.",null
,KH24993,"The device works, but it’s nothing special. Very average.",null
,KH18715,The tablet is lightweight and works perfectly for reading and browsing.,null
,KH19640,The history book is detailed and fascinating to read.,null
,KH40849,The router provides a strong and stable connection throughout my home.,null
,KH32095,"This smartphone has exceeded my expectations, especially the camera.",null
,KH24189,The fantasy novel has a weak plot and inconsistent pacing.,null
,KH7187,The pillows are soft and supportive. Perfect for sleeping.,null
,KH45649,The heater warms up the room quickly and evenly.,null
,KH8120,The plot starts strong but fizzles out midway. Mixed feelings.,null
,KH7979,"The scarf is nice, but the stitching could be better.",null
,KH31303,The jacket doesn’t provide enough warmth in colder weather.,null
,KH28196,"The design looks nice, but the quality isn’t great.",null
,KH21195,The gloves are durable and keep my hands warm.,null
